;enviado email;   alertas;;ESTADO ;DISTRIBUIDORA ;Cidade ;TEL ;CONTATO ;E MAIL;
s;30/mar;;;RJ;Decares Comércio;Manaus - AM;(92) 3042-1170;inara;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Distribuidora Moderna de medicamentos ;Manaus - AM;(92) 2101-6060;humberto;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;OCS Empresa Especializada em Produtos Para a Saúde;Manaus;(92) 3632-4000;samara tel ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;PRIMECARE BRASIL;Manaus;(92) 3345-3848;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Takeda;Manaus;(92) 2123-3535;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;TD -Tândar Distribuidora;Manaus - AM;(92) 3612-0500;eunice;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DISMAL DIST DE MEDICAM DO AMAPÁ;macapa;(96) 3223-1623;benda ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;PONTUAL;macapa;96 3225 2526;edael ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Arenamed Distrib Farmacêutica e Logística;L de Freitas - BA;(71) 3028-9800;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;BAHIA MED;Vitoria da Conquista ;77 99106 1049;charles;thiagosampaio60@gmail.com;
s;28/mar;;;RJ;Distribuidora Gama - Bahia;Eunápolis - BA;0800 723 1744;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;CARVALHO DISTRIBUIDORA;;SÃO LUIZ ;EMANUELA;thiagosampaio60@gmail.com;
s;30/mar; ;;RJ;DISMASUL distribuidora de medicamentos e materiais hospitalares;Imperatriz - MA;(99) 3525-2688;raisa;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Distribuidora de Medicamentos Maximus;São Luís - MA;(98) 3311-0505;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Gran Medh Distribuidora de Medicamentos;São Luís - MA;(98) 3236-5481;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;ITAFARMA COM REP;IMPERATRIZ;99 3523 3076;ITALO;thiagosampaio60@gmail.com;
