;enviado email;         Inviável ;;ESTADO ;DISTRIBUIDORA ;Cidade ;TEL ;CONTATO ;E MAIL
;E;;;AC;RECOL RIO BRANCO ;Rio Branco ;68 2106 1245;TANIA;tania.moura@gruporecol.net
;E;;;AL;ABS FARMA;Alagoas;87 3831 3076;anderson;ABS@ABSFARMA.COM.BR
;E;;;AL;distribuidora etica;Maceió - AL;(82) 3334-2955;pedro;logistica.etica.al@gmail.com
;E;;;AL;G1 DISTRIBUIDORA de medicamentos ;Maceió - AL;081 3205 0255;81  995083586;andreson@g1distribuidora.com.br    
;E;;;AL;GRANDE RIO DISTRIBUIDORA;Olho d'Água do Casado;(82) 3643-1213;fernando ;fernando.nogueira@grupoabsfarma.com.br
;E;;;AL;JC DISTRIBUIDORA;Alagoas;82 3522 2401;ALINE;SETORDECOMPRASJC@GMAIL.COM
;E;;;AM;Decares Comércio;Manaus - AM;(92) 3042-1170;inara;compras3@decares.com.br
;E;;;AM;Distribuidora Moderna de medicamentos ;Manaus - AM;(92) 2101-6060;humberto;dmoderna@netium.com.br
;E;;;AM;OCS Empresa Especializada em Produtos Para a Saúde;Manaus;(92) 3632-4000;samara tel ;geroperacional@ocsdistribuidora.com.br
;E;;;AM;PRIMECARE BRASIL;Manaus;(92) 3345-3848;;comercial03@primecarebrasil.com
;E;;;AM;Takeda;Manaus;(92) 2123-3535;;luiz.felipe@sblog.com.br
;E;;;AM;TD -Tândar Distribuidora;Manaus - AM;(92) 3612-0500;eunice;comercial3@tandar.com.br
;E;;;AP;DISMAL DIST DE MEDICAM DO AMAPÁ;macapa;(96) 3223-1623;benda ;dismal.ap@hotmail.com
;E;;;AP;PONTUAL;macapa;96 3225 2526;edael ;comercial02@pontualcomercio.com.br
;E;;;BA;Arenamed Distrib Farmacêutica e Logística;L de Freitas - BA;(71) 3028-9800;;francys.santos@arenamed.com.br
;E;;;BA;BAHIA MED;Vitoria da Conquista ;77 99106 1049;charles;vendas2_bahiamed@outlook.com
;E;;;BA;GOLFARMA DIST FARMACEUTICA;Feira de Santana - BA;75 3322 3400;FERNANDO;auditoria.compras@golfarma.com.br
;E;;;BA;GRUPO CORDEIRO ALVES;Feira de Santana - BA;75 2101 8300;marcos evangelista;marcosevangelistasousa@hotmail.com
;E;;;BA;MA Distrib de Produtos Farmacêuticos Ltda.;Vitória da Conquista;(77) 3423-3042;;ma_distribuidora@hotmail.com
;E;;;BA;Medisil;Salvador - BA;(71) 3413-8117;wilian;logistica@medisil.com.br71 99953 1831
;E;;;BA;MixFarma Distribuidora de Medicamentos;Vitória da Conquista;(77) 3429-9700;ayuni;ayuni@mixfarma.com.br
;E;;;BA;OKEYMED DISTRIB DE MEDICAMENTOS;Itabuna - BA;(73) 3215-5429;rair;okey_med@hotmail.com
;E;;;BA;Orgafarma Bahia;L de Freitas - BA;(71) 3512-1300;juliana;juliana.js@orgafarma.com.br
ok;E;;;BA;;;;;MARKETING@DROGARIAREDEFARMA.COM.BR
;E;;;CE;CMF Distribuidora de Medicamentos LTDA;Eusébio - CE;85 3371 6723;raquel ;raquel@universodiet.com.br
;E;;;CE;DIFARMA DIST DE MED LTDA;Fortaleza - CE;85 3194 7075;RICARDO;RICARDO.DIFARMA@YAHOO.COM
;E;;;CE;Distribuidora Ibiapina Saúde;Aquiraz - CE;(85) 3444-4500;caio;patricia.aostregesilu@grupoibiapina.com.br
;E;;;CE;Emmarka Distribuidora de Medicam LTDA;Fortaleza - CE;(85) 3533-7760;lucas;compras1@grupoemma.com.br
;E;;;CE;Exfar Distribuidora de Medicamentos;Fortaleza - CE;(85) 3017-9300;VALERIA;valeria@exfar.com.br
;E;;;CE;FORTES DISTRIBUIDORA ;Fortaleza - CE;85 4006 0900;julia;compras3@fortesdistribuidora.com.br
;E;;;CE;JB Farma Comercio De Medicamentos;Fortaleza - CE;(85) 3295-8481;GETULIO ;VENDAS3@JBFARMA.COM.BR
;E;;;CE;REDFARMA;CRATO;88 3523 3454;junior;juniorvasconcelos@redfarma.com.br
;E;;;CE;RIOSFARMA COM DE MEDICAMENTOS;Fortaleza - CE;85 4005 4888;gisela;COMPRAS@RIOSFARMA.COM.BR
;E;;;CE;Total Distribuidora;Fortaleza - CE;(85) 3311-2350;gleison;GLEIDSON.NOBRE@TOTALCOMERCIO.COM.BR
;E;;;DF;Ampla Distribuidora de Medicamentos;Brasília - DF;(61) 3546-6904;lorena;comercial@amplamedicamentos.com.br
;E;;;DF;Distribuidora Medcom;goiania;62 3226 6933;rose;rosepontual@distribuidoramedcom.com.br
;E;;;DF;Expressa Group - Distrib de Medicamentos.;Brasília - DF;(61) 3878-9900;;adriana.badaro@mafrahospitalar.com.br
;E;;;DF;LinkMed - Distribuidora;Brasília - DF;(61) 3456-9500;rose;compras@linkmeddf.com.br
;E;;;DF;Methabio Farmacêutica do Brasil Ltda;Brasília - DF;(61) 3052-2525;;compras@methabio.com.br
;E;;;DF;Nr Distribuidora;Brasília - DF;(61) 3363-9280;gilney;gil.compras.nrdist@gmail.com
;E;;;DF;Planalto Distrib de Prod Farmacêuticos;Brasília - DF;(61) 3451-3400;alan;compras1@dfdistribuidora.com
;E;;;DF;VIVA FARMA;Brasília - DF;61 3244 4444;;aline@vivafarma.com.br
;E;;;DF;WW Distribuidora;Brasília - DF;(61) 3399-8686;wilson;comercial@wwdistribuidora.com
;E;;;ES;Buteri Comercio e Representações;vitoria;(27) 3134-9200;;marcelo@buteri.com.br
;E;;;ES;Costa Camargo Comér de Prod Hospitalares;vitoria;(27) 3200-4746;;costacamargo@costacamargo.com.br
;E;;;ES;Farmalibra Comércio de Prod. Hosp Ltda;vitoria;(27) 3077-7711;alexandre;alexandre@farmalibra.com.br
;E;;;ES;Mônaco Distribuidora de Medicamentos;vitoria;(27) 3215-3262;;rafael@monacoes.com.br
;E;;;ES;N1 Farma Distribuidora;vitoria; (27) 3228-4741;erick;compras@n1farma.com.br
;E;;;ES;S3 Med Distribuidora de Medicamentos Ltda;;(21) 3559-7000;gustavo;gustavo.nogueira@s3med.com.br
;E;;;ES;Sudeste Saúde Distrib Farmac LTDA;; 0800 024 1450;;comunicacao@sudestefarmaceutica.com.br
