enviado email;ESTADO ;DISTRIBUIDORA ;Cidade ;TEL ;CONTATO ;E MAIL;;;;;
E;AC;RECOL RIO BRANCO ;Rio Branco ;68 2106 1245;TANIA;thiagosampaio60@gmail.com;;;;;
E;AL;ABS FARMA;Alagoas;87 3831 3076;anderson;thiagosampaio60@gmail.com;;;;;
E;AL;distribuidora etica;Maceió - AL;(82) 3334-2955;pedro;thiagosampaio60@gmail.com;;;;;
E;AL;G1 DISTRIBUIDORA de medicamentos ;Maceió - AL;081 3205 0255;81  995083586;thiagosampaio60@gmail.com;;;;;
E;AL;GRANDE RIO DISTRIBUIDORA;Olho d'Água do Casado;(82) 3643-1213;fernando ;thiagosampaio60@gmail.com;;;;;
E;AL;JC DISTRIBUIDORA;Alagoas;82 3522 2401;ALINE;thiagosampaio60@gmail.com;;;;;
E;AM;Decares Comércio;Manaus - AM;(92) 3042-1170;inara;thiagosampaio60@gmail.com;;;;;
E;AM;Distribuidora Moderna de medicamentos ;Manaus - AM;(92) 2101-6060;humberto;thiagosampaio60@gmail.com;;;;;
E;AM;OCS Empresa Especializada em Produtos Para a Saúde;Manaus;(92) 3632-4000;samara tel ;thiagosampaio60@gmail.com;;;;;
E;AM;PRIMECARE BRASIL;Manaus;(92) 3345-3848;;thiagosampaio60@gmail.com;;;;;
E;AM;Takeda;Manaus;(92) 2123-3535;;thiagosampaio60@gmail.com;;;;;
E;AM;TD -Tândar Distribuidora;Manaus - AM;(92) 3612-0500;eunice;thiagosampaio60@gmail.com;;;;;
E;AP;DISMAL DIST DE MEDICAM DO AMAPÁ;macapa;(96) 3223-1623;benda ;thiagosampaio60@gmail.com;;;;;
E;AP;PONTUAL;macapa;96 3225 2526;edael ;thiagosampaio60@gmail.com;;;;;
E;BA;Arenamed Distrib Farmacêutica e Logística;L de Freitas - BA;(71) 3028-9800;;thiagosampaio60@gmail.com;;;;;
E;BA;BAHIA MED;Vitoria da Conquista ;77 99106 1049;charles;thiagosampaio60@gmail.com;;;;;
E;BA;GOLFARMA DIST FARMACEUTICA;Feira de Santana - BA;75 3322 3400;FERNANDO;thiagosampaio60@gmail.com;;;;;
E;BA;GRUPO CORDEIRO ALVES;Feira de Santana - BA;75 2101 8300;marcos evangelista;thiagosampaio60@gmail.com;;;;;
E;BA;MA Distrib de Produtos Farmacêuticos Ltda.;Vitória da Conquista;(77) 3423-3042;;thiagosampaio60@gmail.com;;;;;
E;BA;Medisil;Salvador - BA;(71) 3413-8117;wilian;thiagosampaio60@gmail.com;;;;;
E;BA;MixFarma Distribuidora de Medicamentos;Vitória da Conquista;(77) 3429-9700;ayuni;thiagosampaio60@gmail.com;;;;;
E;BA;OKEYMED DISTRIB DE MEDICAMENTOS;Itabuna - BA;(73) 3215-5429;rair;thiagosampaio60@gmail.com;;;;;
E;BA;Orgafarma Bahia;L de Freitas - BA;(71) 3512-1300;juliana;thiagosampaio60@gmail.com;;;;;
E;BA;;;;;thiagosampaio60@gmail.com;;;;;
E;CE;CMF Distribuidora de Medicamentos LTDA;Eusébio - CE;85 3371 6723;raquel ;thiagosampaio60@gmail.com;;;;;
E;CE;DIFARMA DIST DE MED LTDA;Fortaleza - CE;85 3194 7075;RICARDO;thiagosampaio60@gmail.com;;;;;
E;CE;Distribuidora Ibiapina Saúde;Aquiraz - CE;(85) 3444-4500;caio;thiagosampaio60@gmail.com;;;;;
E;CE;Emmarka Distribuidora de Medicam LTDA;Fortaleza - CE;(85) 3533-7760;lucas;thiagosampaio60@gmail.com;;;;;
E;CE;Exfar Distribuidora de Medicamentos;Fortaleza - CE;(85) 3017-9300;VALERIA;thiagosampaio60@gmail.com;;;;;
E;CE;FORTES DISTRIBUIDORA ;Fortaleza - CE;85 4006 0900;julia;thiagosampaio60@gmail.com;;;;;
E;CE;JB Farma Comercio De Medicamentos;Fortaleza - CE;(85) 3295-8481;GETULIO ;thiagosampaio60@gmail.com;;;;;
E;CE;REDFARMA;CRATO;88 3523 3454;junior;thiagosampaio60@gmail.com;;;;;
E;CE;RIOSFARMA COM DE MEDICAMENTOS;Fortaleza - CE;85 4005 4888;gisela;thiagosampaio60@gmail.com;;;;;
E;CE;Total Distribuidora;Fortaleza - CE;(85) 3311-2350;gleison;thiagosampaio60@gmail.com;;;;;
E;DF;Ampla Distribuidora de Medicamentos;Brasília - DF;(61) 3546-6904;lorena;thiagosampaio60@gmail.com;;;;;
E;DF;Distribuidora Medcom;goiania;62 3226 6933;rose;thiagosampaio60@gmail.com;;;;;
E;DF;Expressa Group - Distrib de Medicamentos.;Brasília - DF;(61) 3878-9900;;thiagosampaio60@gmail.com;;;;;
E;DF;LinkMed - Distribuidora;Brasília - DF;(61) 3456-9500;rose;thiagosampaio60@gmail.com;;;;;
E;DF;Methabio Farmacêutica do Brasil Ltda;Brasília - DF;(61) 3052-2525;;thiagosampaio60@gmail.com;;;;;
E;DF;Nr Distribuidora;Brasília - DF;(61) 3363-9280;gilney;thiagosampaio60@gmail.com;;;;;
E;DF;Planalto Distrib de Prod Farmacêuticos;Brasília - DF;(61) 3451-3400;alan;thiagosampaio60@gmail.com;;;;;
E;DF;VIVA FARMA;Brasília - DF;61 3244 4444;;thiagosampaio60@gmail.com;;;;;
E;DF;WW Distribuidora;Brasília - DF;(61) 3399-8686;wilson;thiagosampaio60@gmail.com;;;;;
E;ES;Buteri Comercio e Representações;vitoria;(27) 3134-9200;;thiagosampaio60@gmail.com;;;;;
E;ES;Costa Camargo Comér de Prod Hospitalares;vitoria;(27) 3200-4746;;thiagosampaio60@gmail.com;;;;;
E;ES;Farmalibra Comércio de Prod. Hosp Ltda;vitoria;(27) 3077-7711;alexandre;thiagosampaio60@gmail.com;;;;;
E;ES;Mônaco Distribuidora de Medicamentos;vitoria;(27) 3215-3262;;thiagosampaio60@gmail.com;;;;;
E;ES;N1 Farma Distribuidora;vitoria; (27) 3228-4741;erick;thiagosampaio60@gmail.com;;;;;
E;ES;S3 Med Distribuidora de Medicamentos Ltda;;(21) 3559-7000;gustavo;thiagosampaio60@gmail.com;;;;;
E;ES;Sudeste Saúde Distrib Farmac LTDA;; 0800 024 1450;;thiagosampaio60@gmail.com;;;;;
E;GO;centrofarma;;CATALÃO ;murillo;thiagosampaio60@gmail.com;;;;;
E;GO;DELTAMED;goiania;62 3998 4950;SUELLEM;thiagosampaio60@gmail.com;;;;;
E;GO;Distribuidora BRASIL;;(62) 3565-1600;marcela;thiagosampaio60@gmail.com;;;;;
E;GO;Distribuidora Medcom;;(62) 4009-7600;janiara;thiagosampaio60@gmail.com;;;;;
E;GO;GOIAS LOG DE MED ;goiania;62 3089 8900;;thiagosampaio60@gmail.com;;;;;
E;GO;Goiás Saúde Distrib de Medicam e Correlatos;;(62) 3089-8900;luciano;thiagosampaio60@gmail.com;;;;;
E;GO;JLN DISTRIBUIDORA ;goiania;62 3548.4600;ANDERSON;thiagosampaio60@gmail.com;;;;;
E;GO;LABOR COM E REPRESENTAÇÕES ;goiania;62-3204.2590;anderson;thiagosampaio60@gmail.com;;;;;
E;GO;medcentro DIST DE PROD FARM;;62 3278 8081 ;dionatan;thiagosampaio60@gmail.com;;;;;
E;GO;MEDCENTRO DIST DE PROD FARM;goiania;62-3278.8081;camila;thiagosampaio60@gmail.com;;;;;
E;GO;Medcentro Distrib de Prod Farmacêuticos;R. 15, 55;(62) 3278-8081;jamilson;thiagosampaio60@gmail.com;;;;;
E;GO;RMHOSPITALAR;goiania;62 4006 3993;janaina;thiagosampaio60@gmail.com;;;;;
E;GO;Tech Med Distribuidora de Medicamentos;;61 9 9610 0070;;thiagosampaio60@gmail.com;;;;;
E;MA;CARVALHO DISTRIBUIDORA;;SÃO LUIZ ;EMANUELA;thiagosampaio60@gmail.com;;;;;
E;MA;DISMASUL distribuidora de medicamentos e materiais hospitalares;Imperatriz - MA;(99) 3525-2688;raisa;thiagosampaio60@gmail.com;;;;;
E;MA;Distribuidora de Medicamentos Maximus;São Luís - MA;(98) 3311-0505;;thiagosampaio60@gmail.com;;;;;
E;MA;Gran Medh Distribuidora de Medicamentos;São Luís - MA;(98) 3236-5481;;thiagosampaio60@gmail.com;;;;;
E;MA;ITAFARMA COM REP;IMPERATRIZ;99 3523 3076;ITALO;thiagosampaio60@gmail.com;;;;;
E;MA;LIMA FARMA;São Luís - MA;(98) 3246-6958;antonio ;thiagosampaio60@gmail.com;;;;;
E;MA;Tocantins Medicamentos;Imperatriz - MA;(99) 3524-1675;;thiagosampaio60@gmail.com;;;;;
E;MG;COFARMINAS;;33 3277 9200;;thiagosampaio60@gmail.com;;;;;
E;MG;COMPRECERTO;uberlandia;34 3229 6060;REGINALDO;thiagosampaio60@gmail.com;;;;;
E;MG;DISK MED PADUA ;;32 3465 3250   3 ;;thiagosampaio60@gmail.com;;;;;
E;MG;DIST CENTRO OESTE DE MED ;PIMENTA;37 3324 1244;AUGUSTO ;thiagosampaio60@gmail.com;;;;;
E;MG;distriam;uberlandia;(34) 3293-3900;;thiagosampaio60@gmail.com;;;;;
E;MG;distrimix;;33 3322 6850;;thiagosampaio60@gmail.com;;;;;
E;MG;DSG FARMA;PASSOS;35 3521 5000;VANTUIU;thiagosampaio60@gmail.com;;;;;
E;MG;ECOFARMA;JUIZ DE FORA ;(32) 3235-1020;erico;thiagosampaio60@gmail.com;;;;;
